Category,Priority,Issue,Impact,Fix Description,Effort (Hours),Testing Required,User Benefit
Rate Limiting,P0 - CRITICAL,Self-imposed API limits too low (TikTok: 1 call Instagram: 5 calls),Users only getting 2-5% of requested search results,"Change system-config defaults: max_api_calls_tiktok from 1 to 50, max_api_calls_instagram_similar from 5 to 25",2,Manual smoke test with each platform,"Users get complete search results (1000 creators instead of 20)"
Rate Limiting,P0 - CRITICAL,No rate limiting on authentication endpoints,Brute force attacks possible on auth bypass headers,Implement Upstash rate limiter: 10 req/min for webhooks 5 req/min for auth,4,Automated load testing with rate limit violations,Platform security hardened against attacks
Performance,P0 - CRITICAL,getUserProfile() does 4-way JOIN on every API request,Every API call takes 50-150ms (300ms under load),Add Redis caching with 5min TTL + selective field fetching,6,Load test with 100 concurrent requests,"API response times drop 60-70% (from 800ms to 250ms)"
Performance,P0 - CRITICAL,N+1 query pattern in campaign listing,Dashboard takes 1 second to load 20 campaigns,Rewrite campaign query with single subquery for latest job,3,Compare query performance before/after with EXPLAIN ANALYZE,Dashboard loads 69% faster
Performance,P0 - CRITICAL,Missing indexes on scraping_jobs.user_id and campaigns.user_id,Full table scans on high-traffic queries (500ms+ for 100 jobs),Add 8 composite indexes with CONCURRENTLY flag,2,Monitor slow query log for 48 hours,All user queries under 50ms
QStash Jobs,P0 - CRITICAL,No timeout enforcement in QStash handler,Jobs can run indefinitely consuming resources,Add Promise.race with 5min timeout + check timeoutAt field,2,Simulate stuck job and verify timeout triggers,"Users see clear ""timeout"" error instead of infinite loading"
QStash Jobs,P0 - CRITICAL,Job status override bug (errors marked as completed),Users see success for failed jobs,Fix completion logic to preserve error status from providers,1,Test provider error propagation end-to-end,Users see accurate job status and error messages
QStash Jobs,P0 - CRITICAL,Race condition in job status updates,Concurrent QStash invocations cause status flip-flopping,Add optimistic locking with version column,3,Run 100 concurrent job updates and verify consistency,Jobs never stuck in wrong state
QStash Jobs,P0 - CRITICAL,Missing idempotency for QStash messages,Duplicate messages cause double usage tracking,Store and check qstashMessageId before processing,2,Send duplicate message and verify only processed once,Users never charged twice for same search
QStash Jobs,P0 - CRITICAL,Continuation loop without progress check,Jobs reschedule infinitely if provider returns hasMore=true with 0 results,Add stall detection: exit if processedResults unchanged,1,Mock provider returning hasMore without progress,Jobs never run indefinitely
API Routes,P0 - CRITICAL,8 routes missing authentication (getAuthOrTest),Unauthorized access to job status and data,Add getAuthOrTest() + authorization checks to all routes,4,Test accessing jobs/campaigns without auth → 401,All sensitive endpoints properly secured
API Routes,P0 - CRITICAL,Job cleanup query has SQL syntax error,Cleanup cron never runs results table grows unbounded,Fix JOIN syntax in cleanup route,1,Run cleanup manually and verify results deleted,Database stays under size limits
Search Providers,P0 - CRITICAL,ScrapeCreators rate limit errors not distinguished,Jobs fail permanently instead of retrying,Add RateLimitError class + retry logic with exponential backoff,4,Mock 429 response and verify retry behavior,95% fewer job failures due to transient errors
Search Providers,P0 - CRITICAL,No retry logic for network failures,1% API failure rate becomes 10% job failure rate,Implement withRetry() wrapper with 3 retries,3,Simulate network timeout and verify retries,Job success rate improves 10-15%
Search Providers,P0 - CRITICAL,Instagram US Reels partial keyword failures not tracked,Users missing data from failed keywords without knowing,Track per-keyword status + show warnings in UI,3,Test with 1 failing keyword out of 10,Users informed which keywords failed
Search Providers,P0 - CRITICAL,No fallback provider for Serper failures,Primary Instagram provider down = all Instagram searches fail,Implement cascading fallback: Serper → SerpApi → ScrapeCreators,6,Kill Serper API and verify fallback triggers,99.9% uptime even if provider down
